   1    0    1  n      0.0      0.0  
   0    1    1 H       0.0      0.0  
   1    1    2 H    1112.283    0.000
   2    1    3 H    2827.265    0.000
   1    2    3 He   2572.680    0.000
   0    3    3 Li  -2267       1000     667       1000   
   3    1    4 H    1720.449   25.000
   2    2    4 He   7073.915    0.000
   1    3    4 Li   1153.760   53.033
   4    1    5 H    1336.359   17.889
   3    2    5 He   5512.132    4.000
   2    3    5 Li   5266.132   10.000
   1    4    5 Be     18       1000     401       1000   
   5    1    6 H     961.639   42.354
   4    2    6 He   4878.519    0.009
   3    3    6 Li   5332.331    0.000
   2    4    6 Be   4487.247    0.908
   1    5    6 B    -467       1000     334       1000   
   6    1    7 H     940       1000     143       1000   
   5    2    7 He   4123.057    1.080
   4    3    7 Li   5606.439    0.001
   3    4    7 Be   5371.548    0.010
   2    5    7 B    3558.705    3.593
   6    2    8 He   3924.520    0.011
   5    3    8 Li   5159.712    0.006
   4    4    8 Be   7062.435    0.004
   3    5    8 B    4717.155    0.125
   2    6    8 C    3101.524    2.280
   7    2    9 He   3349.037    5.202
   6    3    9 Li   5037.768    0.021
   5    4    9 Be   6462.668    0.009
   4    5    9 B    6257.070    0.100
   3    6    9 C    4337.423    0.237
   8    2   10 He   2995.134    9.285
   7    3   10 Li   4531.351    1.272
   6    4   10 Be   6497.630    0.008
   5    5   10 B    6475.083    0.002
   4    6   10 C    6032.042    0.007
   3    7   10 N    3643.672   40.000
   8    3   11 Li   4155.381    0.056
   7    4   11 Be   5952.540    0.022
   6    5   11 B    6927.732    0.001
   5    6   11 C    6676.456    0.005
   4    7   11 N    5364.046    4.196
   9    3   12 Li   3791.600    2.501
   8    4   12 Be   5720.722    0.159
   7    5   12 B    6631.223    0.110
   6    6   12 C    7680.144    0.000
   5    7   12 N    6170.109    0.083
   4    8   12 O    4890.202    2.000
  10    3   13 Li   3507.630    5.385
   9    4   13 Be   5241.435    0.783
   8    5   13 B    6496.419    0.077
   7    6   13 C    7469.849    0.000
   6    7   13 N    7238.863    0.021
   5    8   13 O    5811.763    0.733
  10    4   14 Be   4993.897    9.446
   9    5   14 B    6101.644    1.515
   8    6   14 C    7520.319    0.000
   7    7   14 N    7475.614    0.000
   6    8   14 O    7052.278    0.002
   5    9   14 F    5285.208    2.937
  11    4   15 Be   4540.970   11.053
  10    5   15 B    5879.985    1.402
   9    6   15 C    7100.169    0.053
   8    7   15 N    7699.460    0.000
   7    8   15 O    7463.692    0.033
   6    9   15 F    6497.459    0.933
   5   10   15 Ne   4868.728    4.446
  12    4   16 Be   4285.285   10.362
  11    5   16 B    5507.302    1.536
  10    6   16 C    6922.054    0.224
   9    7   16 N    7373.796    0.144
   8    8   16 O    7976.206    0.000
   7    9   16 F    6963.731    0.520
   6   10   16 Ne   6083.177    1.280
  12    5   17 B    5269.667   12.006
  11    6   17 C    6558.024    1.021
  10    7   17 N    7286.229    0.882
   9    8   17 O    7750.728    0.000
   8    9   17 F    7542.328    0.015
   7   10   17 Ne   6640.499    0.021
   6   11   17 Na   5496.080   58.903
  13    5   18 B    4976.630   11.342
  12    6   18 C    6426.131    1.667
  11    7   18 N    7038.562    1.032
  10    8   18 O    7767.097    0.000
   9    9   18 F    7631.638    0.026
   8   10   18 Ne   7341.257    0.020
   7   11   18 Na   6202.217    5.216
  14    5   19 B    4719.634   27.651
  13    6   19 C    6118.273    5.178
  12    7   19 N    6948.543    0.863
  11    8   19 O    7566.495    0.139
  10    9   19 F    7779.018    0.000
   9   10   19 Ne   7567.343    0.008
   8   11   19 Na   6937.885    0.554
   7   12   19 Mg   5902.025    2.632
  15    5   20 B    4453       1000      40       1000   
  14    6   20 C    5961.435   11.531
  13    7   20 N    6709.171    3.945
  12    8   20 O    7568.570    0.044
  11    9   20 F    7720.134    0.002
  10   10   20 Ne   8032.240    0.000
   9   11   20 Na   7298.496    0.056
   8   12   20 Mg   6728.025    0.093
  16    5   21 B    4203       1000      43       1000   
  15    6   21 C    5674       1000      28       1000   
  14    7   21 N    6609.015    6.383
  13    8   21 O    7389.374    0.571
  12    9   21 F    7738.293    0.086
  11   10   21 Ne   7971.713    0.002
  10   11   21 Na   7765.547    0.005
   9   12   21 Mg   7105.031    0.036
   8   13   21 Al   6302       1000      28       1000   
  16    6   22 C    5421.077   10.522
  15    7   22 N    6378.534    9.445
  14    8   22 O    7364.871    2.587
  13    9   22 F    7624.295    0.564
  12   10   22 Ne   8080.465    0.001
  11   11   22 Na   7915.667    0.008
  10   12   22 Mg   7662.761    0.014
   9   13   22 Al   6782       1000      18       1000   
   8   14   22 Si   6058       1000      23       1000   
  17    6   23 C    5077       1000      43       1000   
  16    7   23 N    6236.671   18.286
  15    8   23 O    7163.485    5.292
  14    9   23 F    7622.344    1.449
  13   10   23 Ne   7955.256    0.005
  12   11   23 Na   8111.493    0.000
  11   12   23 Mg   7901.115    0.007
  10   13   23 Al   7335.727    0.015
   9   14   23 Si   6565       1000      22       1000   
  17    7   24 N    5887       1000      17       1000   
  16    8   24 O    7039.685    6.870
  15    9   24 F    7463.582    4.070
  14   10   24 Ne   7993.325    0.021
  13   11   24 Na   8063.488    0.001
  12   12   24 Mg   8260.709    0.001
  11   13   24 Al   7649.582    0.010
  10   14   24 Si   7167.232    0.811
   9   15   24 P    6194       1000      21       1000   
  18    7   25 N    5613       1000      20       1000   
  17    8   25 O    6727.805    6.603
